.,Italian
quest.name,22.30h al Negozio di Uccelli (V3.0)
quest.description,|||La famiglia Gordon vi ha contattato per trovare la loro figlia, Felicia. È scomparsa da alcuni giorni e sebbene la polizia ritenga che sia fuggita con il suo ragazzo, i suoi genitori non ne sono così sicuri. L'ultimo indizio è un appunto nel suo diario personale: <i> 22.30 al negozio di uccelli </i>\nQuesto scenario necessita solo della scatola base de "Le case della Follia" 2nda Edizione.\nNote dai creatori: questo gioco è la prima parte di una campagna in due fasi e include due modalità di gioco: "Incubo" e "Difficile". La scelta del livello di difficoltà non influenza la seconda partita della campagna.|||
quest.authors,"Miss Fernwood & EtiCarasoft\n\nFrench: BenRQ - Bientôt disponible\nEnglish: Scrubless - Comming soon\nItaliano: Gabro"
EventINTRO2.text,Posiziona gli Investigatori nello spazio indicato.
EventINTRO2.button1,Continua
EventINTRO3.text,In fondo alla stanza c'è una porta di legno bianca. Questa sembra essere l'unica via d'uscita dalla camera da letto. Posiziona un segnalino esplorazione come indicato.
EventINTRO3.button1,Continua
EventBusquedaHAB11.text,"Guardi attraverso il buco della serratura ma non riesci a vedere niente. Tenti di forzarlo con la spalla, ma non si muove, nemmeno di un centimetro. All'improvviso ti rendi conto che il pezzo del legno è insolitamente freddo - un brivido ti corre lungo la schiena, hai la sensazione snervante di essere osservato. La luce della stanza si accende all'improvviso e tu istintivamente ti volti.\nSubisci 1 orrore a faccia in giù ({will}) nega.\n\nRimuovi il segnalino Oscurità."
EventBusquedaHAB11.button1,Continua
EventMeterManoDebajoCama.text,"Ti accovacci e ti allunghi alla cieca sotto il letto finché non trovi qualcosa di increspato e freddo. Cerchi di tirarlo fuori alla luce ma incontri resistenza. All'improvviso l'oggetto inizia a trascinarti verso l'oscurità con una forza inarrestabile. Ti opponi a tale forza e finalmente riesci a liberarti, afferrando l'oggetto inciampi all'indietro cadendo con forza. Subisci 2 danni a faccia in giù ({agility}) nega. \n\nOttieni l'Oggetto Comune <b>{c:QItemPalanca}</b>. Poi scarta il segnalino Ricerca."
EventMeterManoDebajoCama.button1,Continua
EventDebajoAlfombraHAB1.text,"Alzi il tappeto notando che una delle assi del pavimento è stata riparata di recente. Con un piccolo sforzo pensi che potresti essere in grado di rimuoverla.\n\nEffettua una prova di ({strength}) se possiedi l'Oggetto Comune <b>{c:QItemPalanca}</b> tira 2 dadi in più."
EventDebajoAlfombraHAB1.button1,Continua
EventDebajoAlfombraHAB1.button2,Fallisci
EventResolucionTirarAlfHAB1.text,"Ti stanchi per lo sforzo e il sudore inizia a gocciolare sulla fronte. Grugnendo per la fatica finalmente riesci a rimuovere la tavola. Un bagliore di luce proveniente da un oggetto metallico cattura la tua attenzione e ti allunghi per sentire di cosa si tratta. Le tue dita si chiudono attorno a una piccola chiave di metallo.\n\nOttieni l'Oggetto Comune <b>{c:QItemLlave1} </b>e 1 {clue}. Rimuovi il segnalino Ricerca."
EventResolucionTirarAlfHAB1.button1,Continua
EventSalirHAB1.text,"Davanti a te si estende un corridoio lungo, stretto e poco illuminato.\n\nScarta il segnalino Esplorazione, posiziona la tessera <b>{c:TilePasillo2}</b>, <b>{c:TileFinalPasillo}</b> e i muri come indicato.\n\nPuoi muoverti di uno spazio all'interno dell'area esplorata."
EventSalirHAB1.button1,Continua
EventVistazo1.text,"Il corridoio svolta e prosegue nell'oscurità.\n\nPosiziona la tessera <b>{c:TileEsquinaPasillo}</b> e i muri come indicato."
EventVistazo1.button1,Continua
EventResolucionPuzzle1.text,"Apri il cassetto e cerchi al suo interno. Una nota cattura la tua attenzione, dice: <i> 1,2,3,4 ... 3 modi per morire 1 per andarsene. </i> Sotto la nota c'è una piccola chiave.\n\nSubisci 1 orrore a faccia in su e ottieni gli Oggetti Unici <b>Prove Circostanziani</b>, e <b>{c:QItemLlave2}</b>. Poi Ottieni 1 {clue}. Rimuovi il segnalino Ricerca."
EventResolucionPuzzle1.button1,Continua
EventAbrirPuertaFAKE1Pesadilla.text,"Apri la porta e hai appena il tempo di reagire mentre un mucchio di mattoni ti cade addosso. Malconcio e ammaccato, alzi lo sguardo per vedere che la porta era stata murata.\n\n Subisci 2 danni, ottieni 1 {clue} e diventa <b>Stordito</b>. Rimuovi il segnalino Esplorazione."
EventAbrirPuertaFAKE1Pesadilla.button1,Continua
EventInspeccionarPuertaSOTANO11.text,"Esamini la porta e un odore di terra umida e letame ti riempie le narici. Una debole luce gialla filtra attraverso le fessure della porta, ma questa, non si apre.\n Ottieni 2 {clue}."
EventInspeccionarPuertaSOTANO11.button1,Continua
EventVistazo2.text,"Alcune scale scendono al piano inferiore. Le pareti che fiancheggiano i gradini sono piene di ritratti, raffiguranti bambini dall'aspetto pallido con gli occhi chiusi.\n\nRimuovi il <b>segnalino Vista</b> e posiziona la tessera <b> {c:TileEscalerasPasillo}. </b>"
EventVistazo2.button1,Continua
EventInvestigarPuertaESC11.text,"Mentre stai esaminando la porta, ti irrigidisci e ti blocchi quando inizi a sentire il suono di una risata giocosa infantile, una delle voci pronuncia il tuo nome. Alla fine, superando la paura, ti giri per vedere che tutti i volti sono scomparsi dai ritratti sui muri.\n\nSubisci 2 orrori ({will} nega)."
EventInvestigarPuertaESC11.button1,Continua
EventAparicionFantasmaVerde.text,"Riesci a voltarti nonostante il tremore alle gambe. In cima alle scale c'è la sagoma di una ragazza in un elegante abito bianco, ha dei fiocchetti tra i capelli e un orsacchiotto senza occhi in una mano. Puoi vedere chiaramente la sala attraverso la sua forma, subisci 1 orrore.\n\nPosiziona un segnalino Persona nello spazio indicato."
EventAparicionFantasmaVerde.button1,Continua
EventFantasmaVerdeHABLA1.text,<i> - Ogni volta che ti vedo mi rendo conto che non ricordo più il viso di mia madre ... Il nostro peggior nemico è la noia. A quale gioco vorresti giocare oggi? - </i>
EventFantasmaVerdeHABLA1.button1,{action} Dove siamo?
EventFantasmaVerdeHABLA1.button2,{action} Stai al gioco
EventFantasmaVerdeHABLA1.button3,Non fare nulla
